"","pr_land_cover_Year","pr_Treatment","pr_Croptype","pr_yield_control_kgha","pr_yield_treatm_kgha","pr_yield_control_kgha_sd","pr_yield_treatm_kgha_sd","pr_yield_control_kgha_n","pr_yield_treatm_kgha_n","DatasetID","Source","Country","SiteRegion","QualityOfDataPoint","pr_pub_Year","pr_Longitude","pr_Latitude","nat.hab.1000","nat.hab.2000","nat.hab.5000","nat.hab.wo.grass.1000","nat.hab.wo.grass.2000","nat.hab.wo.grass.5000","cropland.1000","cropland.2000","cropland.5000","crop.peri.area.ratio.1000","crop.peri.area.ratio.2000","crop.peri.area.ratio.5000","crop.edgelength.1000","crop.edgelength.2000","crop.edgelength.5000","inert.1000","inert.2000","inert.5000"
"14",2000,"Super Absorbent Polymer (SAP)","Maize",7121.3,7645.525,0,78.1989389314204,2,2,"D652","108","China",NA,NA,2006,114.90381,40.761555,0.302247412,0.302247412,0.302247412,0.02310256,0.02310256,0.02310256,0.406899369,0.406899369,0.406899369,15.8190002790844,77.5675051631163,539.686417390251,64092.4871728,314273.610341,2186601.18678,0.290853219,0.290853219,0.290853219
"15",2000,"Super Absorbent Polymer (SAP)","Maize",5626.27,6041.84333333333,0,163.851820354042,3,3,"D652","109","China",NA,NA,2006,126.733936,45.750749,0.022163356,0.022163356,0.022163356,0.022163356,0.022163356,0.022163356,0.362295766,0.362295766,0.362295766,25.1132625506419,125.661520436854,815.31496559311,90700.743947,453847.578193,2944646.2315,0.615540878,0.615540878,0.615540878
"16",2000,"Super Absorbent Polymer (SAP)","Maize",7635.53,8789.78,0,967.984913518801,8,8,"D652","109","China",NA,NA,2006,123.555239,47.776821,0.041246262,0.041246262,0.041246262,0.005171444,0.005171444,0.005171444,0.927827581,0.927827581,0.927827581,5.56843032009167,30.6282389801283,203.246156552872,51528.266196,283422.78893,1880767.3718,0.030926157,0.030926157,0.030926157
"19",2011,"Super Absorbent Polymer (SAP)","Maize",8976,9192,NA,NA,1,1,"D652","11","China",NA,NA,2018,114.45,34.429,0.000408314,0.000408314,0.000408314,0.000171244,0.000171244,0.000171244,0.877552443,0.877552443,0.877552443,4.12718762054834,21.9517162770344,221.097244046824,36011.59513,191538.74058,1929174.335892,0.122039243,0.122039243,0.122039243
"20",2011,"Super Absorbent Polymer (SAP)","Wheat",8109.1,8607.2,NA,NA,1,1,"D652","11","China",NA,NA,2018,114.45,34.429,0.000408314,0.000408314,0.000408314,0.000171244,0.000171244,0.000171244,0.877552443,0.877552443,0.877552443,4.12718762054834,21.9517162770344,221.097244046824,36011.59513,191538.74058,1929174.335892,0.122039243,0.122039243,0.122039243
"21",2013,"Super Absorbent Polymer (SAP)","Maize",9809.3,11450.8,371.684527523006,828.937773297851,6,6,"D652","110","China",NA,NA,2020,113.124855,37.975858,0.519894733,0.519894733,0.519894733,0.003613682,0.003613682,0.003613682,0.454476452,0.454476452,0.454476452,29.3776897755101,97.7019013327406,690.585788696582,132857.6108504,441846.9010259,3123103.915746,0.025628815,0.025628815,0.025628815
"22",2006,"Super Absorbent Polymer (SAP)","Maize",8390.4,8995.45,0,66.9630121783653,2,2,"D652","111","China",NA,NA,2013,115.600614,34.45885,0.002381331,0.002381331,0.002381331,0.001482977,0.001482977,0.001482977,0.522251914,0.522251914,0.522251914,18.7123181967512,90.2944626746061,585.320404698822,97167.697138,468873.22619,3039400.84892,0.475366755,0.475366755,0.475366755
"23",2005,"Super Absorbent Polymer (SAP)","Maize",15198.2,19687.125,0,1182.98037564732,4,4,"D652","112","China",NA,NA,2012,107.048719,40.428047,0.131065052,0.131065052,0.131065052,0.127850486,0.127850486,0.127850486,0.723199024,0.723199024,0.723199024,10.19275223034,66.0996853701427,402.988216107081,73392.302486,475946.82901,2901692.5347,0.145735924,0.145735924,0.145735924
"24",2001,"Super Absorbent Polymer (SAP)","Maize",10805.995,11320.4541666667,302.568477643716,923.283644031241,12,12,"D652","114","China",NA,NA,2008,124.286741,44.518008,0.191021145,0.191021145,0.191021145,0.033079735,0.033079735,0.033079735,0.796169866,0.796169866,0.796169866,8.95318529667352,46.1402414335523,403.743611301293,71039.9560339,366104.421412,3203544.59842,0.012808989,0.012808989,0.012808989
"25",2004,"Super Absorbent Polymer (SAP)","Maize",8266.7,9461.1,1039.23048454133,933.069407922047,3,3,"D652","115","China",NA,NA,2011,116.17816,28.35455,0.088217654,0.088217654,0.088217654,0.088177954,0.088177954,0.088177954,0.785240301,0.785240301,0.785240301,9.56180910277816,54.7872506923744,379.631149606304,74560.110386,427214.49628,2960249.479608,0.126542045,0.126542045,0.126542045
"26",2011,"Super Absorbent Polymer (SAP)","Maize",12233.3333333333,11883.3333333333,422.689799577263,1137.3946837693,6,6,"D652","116","China",NA,NA,2018,116.68975,39.701925,0.016286174,0.016286174,0.016286174,0.008313554,0.008313554,0.008313554,0.774015601,0.774015601,0.774015601,12.6013449997118,55.2186982763289,383.293041055743,97094.98988,425467.19818,2953322.3591,0.209698225,0.209698225,0.209698225
"27",2009,"Super Absorbent Polymer (SAP)","Maize",6731,7225.33333333333,0,305.133304202169,3,3,"D652","117","China",NA,NA,2016,121.276739,28.35156,0.716811832,0.716811832,0.716811832,0.716557512,0.716557512,0.716557512,0.186014883,0.186014883,0.186014883,24.2410168874252,99.8546304119099,686.307944412273,44777.609514,184449.83845,1267736.7985,0.097173285,0.097173285,0.097173285
"28",2003,"Super Absorbent Polymer (SAP)","Maize",8905.6,9522.63333333333,566.572517423851,821.248540333558,9,9,"D652","118","China",NA,NA,2010,123.571643,41.826118,0.129159911,0.129159911,0.129159911,0.113145834,0.113145834,0.113145834,0.483031544,0.483031544,0.483031544,24.4160725464967,77.7686547329183,686.379698674971,117459.6372041,374125.607359,3302001.590841,0.387808545,0.387808545,0.387808545
"29",2000,"Super Absorbent Polymer (SAP)","Maize",8325,10094.625,80.1783725737273,777.221183355898,8,8,"D652","119","China",NA,NA,2007,105.396025,36.003397,0.677184189,0.677184189,0.677184189,0.022689537,0.022689537,0.022689537,0.312777508,0.312777508,0.312777508,13.2339002871122,91.9059481603931,735.757046734428,41171.411238,285924.595534,2288981.7276211,0.010038303,0.010038303,0.010038303
"30",2000,"Super Absorbent Polymer (SAP)","Oilcrops",1527,1587,NA,NA,1,1,"D652","119",NA,NA,NA,2007,107.695535,35.245292,0.260647419,0.260647419,0.260647419,0.092006137,0.092006137,0.092006137,0.694917454,0.694917454,0.694917454,14.2935154589075,54.1909123449889,430.842462408417,98780.1164336,374504.41401,2977480.85302,0.0444351270000001,0.0444351270000001,0.0444351270000001
"32",2000,"Super Absorbent Polymer (SAP)","Wheat",5227.69,5235.645,164.897301372703,140.099066556491,2,2,"D652","12","China",NA,NA,2006,116.233,40.2167,0.164730491,0.164730491,0.164730491,0.107037574,0.107037574,0.107037574,0.429812617,0.429812617,0.429812617,4.47805455444421,39.8466882679271,764.883350309259,19162.228407,170509.611388,3273043.97147,0.405456892,0.405456892,0.405456892
"33",2001,"Super Absorbent Polymer (SAP)","Maize",9010.5,9389,0,270.658918197794,3,3,"D652","120","China",NA,NA,2008,123.45,41.733,0.069481131,0.069481131,0.069481131,0.056926004,0.056926004,0.056926004,0.378593754,0.378593754,0.378593754,15.1495621153246,106.275152811354,862.773242216188,57122.09468,400715.1688484,3253124.707769,0.551925115,0.551925115,0.551925115
"34",2004,"Super Absorbent Polymer (SAP)","Maize",6706.34,7617.88,NA,NA,1,1,"D652","121","China",NA,NA,2011,113.091697,28.201943,0.043401851,0.043401851,0.043401851,0.043210896,0.043210896,0.043210896,0.347497324,0.347497324,0.347497324,34.3696963425214,129.201422682296,953.789444448706,118597.743735,445828.70517,3291192.1881,0.609100825,0.609100825,0.609100825
"35",2012,"Super Absorbent Polymer (SAP)","Maize",6440.5,8713.3,NA,NA,1,1,"D652","122","China",NA,NA,2019,113.910484,34.512187,0.007040305,0.007040305,0.007040305,8.184e-05,8.184e-05,8.184e-05,0.870786673,0.870786673,0.870786673,16.5435578863786,56.1155761930317,322.047615593653,143240.786185,485871.25613,2788417.94271,0.122173022,0.122173022,0.122173022
"36",2012,"Super Absorbent Polymer (SAP)","Maize",10766,9735,311.975511859505,108.32875887778,2,2,"D652","123","China",NA,NA,2019,115.22,37.92,0.002553308,0.002553308,0.002553308,0.000306244,0.000306244,0.000306244,0.574333314,0.574333314,0.574333314,2.36278268034284,19.9558992953201,456.25358409972,13503.2371589,114047.40823,2607476.5157,0.423113378,0.423113378,0.423113378
"37",2000,"Super Absorbent Polymer (SAP)","Maize",7474.5,8055.5,382.441171946745,443.487880330455,9,9,"D652","124","China",NA,NA,2005,113.52052,34.132968,0.001982916,0.001982916,0.001982916,0.000216766,0.000216766,0.000216766,0.772554265,0.772554265,0.772554265,12.4665997490204,42.5786312467377,302.72047935536,95754.9631062,327043.086826,2325171.97277,0.225462819,0.225462819,0.225462819
"38",2010,"Super Absorbent Polymer (SAP)","Maize",14418.27,14907.82,0,336.356203351942,4,4,"D652","125","China",NA,NA,2017,107.38493,40.74338,0.033478542,0.033478542,0.033478542,0.0316594,0.0316594,0.0316594,0.501315968,0.501315968,0.501315968,13.6355501421603,48.7672817176075,578.23242034456,68063.843478,243429.02157,2886331.7242,0.46520549,0.46520549,0.46520549
"39",2002,"Super Absorbent Polymer (SAP)","Maize",8494.2,10070.05,0,706.860200110319,3,3,"D652","126","China",NA,NA,2009,113.091697,28.201943,0.069094198,0.069094198,0.069094198,0.069022598,0.069022598,0.069022598,0.357289143,0.357289143,0.357289143,30.793475022181,129.609723831838,925.11234068221,109251.595388,459839.92051,3282188.8098,0.573616659,0.573616659,0.573616659
"40",2007,"Super Absorbent Polymer (SAP)","Maize",8523.15,9628.51333333333,0,891.431468220262,3,3,"D652","128","China",NA,NA,2014,105.460754,27.209587,0.386630842,0.386630842,0.386630842,0.318938324,0.318938324,0.318938324,0.579984153,0.579984153,0.579984153,12.4366457534497,54.1156267643853,425.885511285592,71612.022812,311605.68333,2452310.98112,0.0333850050000001,0.0333850050000001,0.0333850050000001
"41",2002,"Super Absorbent Polymer (SAP)","Maize",7066,7615.73333333333,0,485.927796419729,3,3,"D652","129","China",NA,NA,2009,100.133046,39.16263,0.167330567,0.167330567,0.167330567,0.045973111,0.045973111,0.045973111,0.551898372,0.551898372,0.551898372,19.9808140557041,72.4664516090843,415.979874778989,109761.5980219,398083.557027,2285122.90207,0.280771061,0.280771061,0.280771061
"43",2008,"Super Absorbent Polymer (SAP)","Wheat",7174.46666666667,7525.475,558.359573512744,597.679059704363,12,12,"D652","13","China",NA,NA,2015,114.462199,34.43526,0.000691971,0.000691971,0.000691971,0.000215938,0.000215938,0.000215938,0.85154514,0.85154514,0.85154514,10.2600151575367,29.1903036796564,242.902787044558,86869.55079,247148.61812,2056610.606535,0.147762889,0.147762889,0.147762889
"44",2005,"Super Absorbent Polymer (SAP)","Maize",6385,6866.25,0,281.70241390517,4,4,"D652","131","China",NA,NA,2012,110.314001,25.07108,0.272142729,0.272142729,0.272142729,0.272118229,0.272118229,0.272118229,0.660235962,0.660235962,0.660235962,15.529582667378,53.4234925019188,350.313071470399,101755.3032,350049.5663,2295374.806,0.0676213090000001,0.0676213090000001,0.0676213090000001
"45",2011,"Super Absorbent Polymer (SAP)","Maize",7482,9763.125,0,972.028066724413,4,4,"D652","133","China",NA,NA,2018,106.85,37.666,0.5867924,0.5867924,0.5867924,0.54030394,0.54030394,0.54030394,0.003254329,0.003254329,0.003254329,5.2215477513278,175.325376169123,719.423642344041,169.0774725,5677.1618071,23295.4550829,0.409953271,0.409953271,0.409953271
"46",2009,"Super Absorbent Polymer (SAP)","Maize",8723.29666666667,9563.38666666667,533.396593196219,570.391633558324,3,3,"D652","134","China",NA,NA,2016,116.696133,39.710096,0.015009513,0.015009513,0.015009513,0.007356368,0.007356368,0.007356368,0.786096764,0.786096764,0.786096764,15.9604430662526,49.2564557916824,356.362061742958,124896.95876,385451.80119,2788678.0802,0.198893723,0.198893723,0.198893723
"47",2008,"Super Absorbent Polymer (SAP)","Maize",8460.485,9262.745,786.224958933511,687.838121399214,2,2,"D652","135","China",NA,NA,2015,115.719048,34.536873,0.006656569,0.006656569,0.006656569,0.005510117,0.005510117,0.005510117,0.845923129,0.845923129,0.845923129,11.5703592669683,35.5002243285978,267.147460076235,97319.350888,298595.636343,2247001.74006,0.147420302,0.147420302,0.147420302
"48",2001,"Super Absorbent Polymer (SAP)","Maize",9658,10648.5,0,134.309344425472,4,4,"D652","136","China",NA,NA,2008,121.765878,42.069227,0.038737968,0.038737968,0.038737968,0.013027653,0.013027653,0.013027653,0.494860219,0.494860219,0.494860219,18.7169520792537,73.311158151384,611.832194726326,92253.04654,361339.691217,3015629.0242,0.466401813,0.466401813,0.466401813
"49",2011,"Super Absorbent Polymer (SAP)","Maize",5020,6530,NA,NA,1,1,"D652","137","China",NA,NA,2018,98.70222,39.60833,0.148463749,0.148463749,0.148463749,0.006612464,0.006612464,0.006612464,0.82439098,0.82439098,0.82439098,14.5579474178017,55.2584850260608,355.931802918319,119468.1484925,453472.50578,2920914.072835,0.027145271,0.027145271,0.027145271
"50",2010,"Super Absorbent Polymer (SAP)","Maize",5180,6740,NA,NA,1,1,"D652","138","China",NA,NA,2017,98.70222,39.60833,0.146792909,0.146792909,0.146792909,0.006931501,0.006931501,0.006931501,0.825249857,0.825249857,0.825249857,14.5255658669909,54.4718198113514,349.977200894997,119326.6019525,447482.543522,2875040.499355,0.0279572340000001,0.0279572340000001,0.0279572340000001
"51",2004,"Super Absorbent Polymer (SAP)","Maize",5595.15,7991.76,0,753.694114346132,5,5,"D652","139","China",NA,NA,2011,98.669625,39.602431,0.187059723,0.187059723,0.187059723,0.060831329,0.060831329,0.060831329,0.729577188,0.729577188,0.729577188,10.4501648914786,43.3829807142779,359.118649097153,75894.4434404,315069.3994102,2608103.344333,0.083363089,0.083363089,0.083363089
"52",2007,"Cover crops","Maize",9300,9300,NA,NA,1,1,"D473","14","USA",NA,NA,2014,-84.12825,40.17,0.072857914,0.072857914,0.072857914,0.059486653,0.059486653,0.059486653,0.914102348,0.914102348,0.914102348,2.21700224839844,12.5918106505005,115.466391716735,20175.985395,114592.6613131,1050810.045219,0.0130397379999999,0.0130397379999999,0.0130397379999999
"53",2008,"Super Absorbent Polymer (SAP)","Wheat",6975.9,7282.96666666667,0,274.069295373755,6,6,"D652","14","China",NA,NA,2015,115.533,38.0166,0.003066518,0.003066518,0.003066518,0.001828612,0.001828612,0.001828612,0.764948011,0.764948011,0.764948011,7.48075021263041,28.4399980437881,237.511240299613,56942.426136,216481.29424,1807902.3992,0.231985471,0.231985471,0.231985471
"54",2008,"Super Absorbent Polymer (SAP)","Wheat",6975.9,7282.96666666667,0,274.069295373755,6,6,"D652","14","China",NA,NA,2015,115.533333,38.016667,0.003062618,0.003062618,0.003062618,0.001828598,0.001828598,0.001828598,0.765236764,0.765236764,0.765236764,7.66945218776961,28.5088154505729,237.416006645425,58401.329666,217088.87268,1807874.9476,0.231700618,0.231700618,0.231700618
"55",2008,"Super Absorbent Polymer (SAP)","Wheat",8163.15,7952.29166666667,1106.8727753943,845.67548628659,12,12,"D652","14","China",NA,NA,2015,114.483,38.2,0.068353185,0.068353185,0.068353185,0.013287891,0.013287891,0.013287891,0.698684486,0.698684486,0.698684486,10.3205672483568,60.1978202228581,471.059992636638,71756.64247,418542.2525,3275176.9026,0.232962329,0.232962329,0.232962329
"56",2008,"Super Absorbent Polymer (SAP)","Wheat",7103.4,7440.03333333333,0,331.655023581231,6,6,"D652","14","China",NA,NA,2015,114.483333,38.2,0.068056055,0.068056055,0.068056055,0.013250602,0.013250602,0.013250602,0.698262124,0.698262124,0.698262124,10.3295603423315,60.1490684392498,471.401731748017,71775.75592,417950.4947,3275571.7104,0.233681821,0.233681821,0.233681821
"57",2004,"Super Absorbent Polymer (SAP)","Maize",9276,10258,NA,NA,1,1,"D652","140","China",NA,NA,2011,124.286741,44.518008,0.17311782,0.17311782,0.17311782,0.037338041,0.037338041,0.037338041,0.81126754,0.81126754,0.81126754,9.29516002802798,46.0167974075467,391.186473240942,75151.9658697,372048.762773,3162767.76269,0.01561464,0.01561464,0.01561464
"58",2011,"Super Absorbent Polymer (SAP)","Maize",5050.09,8581.70333333333,0,710.233207216709,3,3,"D652","141","China",NA,NA,2018,114,37.3,0.961537457,0.961537457,0.961537457,0.288641969,0.288641969,0.288641969,0.033292095,0.033292095,0.033292095,6.04609315448535,41.912175682814,745.846167639732,2002.634724,13882.4818335,247045.058009,0.00517044799999999,0.00517044799999999,0.00517044799999999
"59",2011,"Super Absorbent Polymer (SAP)","Maize",10211.7,10443.025,0,873.630037544497,4,4,"D652","142","China",NA,NA,2018,126.47555,43.951944,0.165089488,0.165089488,0.165089488,0.165089488,0.165089488,0.165089488,0.508228231,0.508228231,0.508228231,23.7415679187633,103.457198299891,669.079170207069,120233.0282,523932.213881,3388378.35036,0.326682281,0.326682281,0.326682281
"60",2005,"Super Absorbent Polymer (SAP)","Maize",8050.4,8737.975,0,278.060249766125,4,4,"D652","143","China",NA,NA,2012,116.34,28.25833,0.446360829,0.446360829,0.446360829,0.446336929,0.446336929,0.446336929,0.532114249,0.532114249,0.532114249,9.94814073699016,34.9557699156621,281.559314609277,52565.6543,184705.15906,1487750.3232,0.021524922,0.021524922,0.021524922
"61",2005,"Super Absorbent Polymer (SAP)","Maize",4340,6614,0,964.406553275122,5,5,"D652","145","China",NA,NA,2012,100.183729,38.969175,0.160486669,0.160486669,0.160486669,0.075511173,0.075511173,0.075511173,0.601164557,0.601164557,0.601164557,10.7805184911977,28.7924635160941,208.57292895967,64504.6995421,172278.28232,1247985.811271,0.238348774,0.238348774,0.238348774
"62",2006,"Super Absorbent Polymer (SAP)","Maize",8580,9435,0,408.319727664486,3,3,"D652","147","China",NA,NA,2013,126.73,45.75,0.02158684,0.02158684,0.02158684,0.02149204,0.02149204,0.02149204,0.275916011,0.275916011,0.275916011,32.605425937881,109.924568001602,852.149983300487,89683.042734,302353.65575,2343886.06098,0.702497149,0.702497149,0.702497149
"63",2012,"Super Absorbent Polymer (SAP)","Maize",12444,13694.5,0,511.238202797874,2,2,"D652","148","China",NA,NA,2019,106.57,35.45,0.63348437,0.63348437,0.63348437,0.392116365,0.392116365,0.392116365,0.365777275,0.365777275,0.365777275,28.071011359806,89.6142449887113,544.859756803572,102113.5092935,325988.4341605,1982028.403853,0.000738354999999968,0.000738354999999968,0.000738354999999968
"65",2007,"Cover crops","Maize",9673.33333333333,9426.66666666667,232.450711621482,287.286152352203,3,3,"D473","15","USA",NA,NA,2014,-88.669953,37.435783,0.917153387,0.917153387,0.917153387,0.715695628,0.715695628,0.715695628,0.080115824,0.080115824,0.080115824,22.6066257358229,79.2776206536927,596.549085826114,18019.9957327,63193.083416,475515.98839,0.00273078900000001,0.00273078900000001,0.00273078900000001
"66",2000,"Super Absorbent Polymer (SAP)","Wheat",7293.33333333333,7410,240.277617212535,272.213151776324,3,3,"D652","15","China",NA,NA,2007,117.15,36.166667,0.022287545,0.022287545,0.022287545,0.004651387,0.004651387,0.004651387,0.516191637,0.516191637,0.516191637,27.4972086173506,72.8033387440766,576.741191261773,141180.90375,373799.43917,2961203.9442,0.461520818,0.461520818,0.461520818
"67",2013,"Super Absorbent Polymer (SAP)","Maize",8299.2,8739.31666666667,1180.41482369547,1201.24330827134,6,6,"D652","150","China",NA,NA,2020,115.949116,36.674067,0.008561553,0.008561553,0.008561553,0.006453225,0.006453225,0.006453225,0.85329723,0.85329723,0.85329723,4.91364602647675,31.3957963260158,263.311147208031,41709.947628,266506.17758,2235141.502,0.138141217,0.138141217,0.138141217
"68",2013,"Super Absorbent Polymer (SAP)","Maize",15318,15048,NA,NA,1,1,"D652","151","China",NA,NA,2020,103.55,34.45,0.990796507,0.990796507,0.990796507,0.566854019,0.566854019,0.566854019,0.007975982,0.007975982,0.007975982,0,2.00482501462963,794.240460414866,0,158.9892993,62985.9131623,0.00122751099999996,0.00122751099999996,0.00122751099999996
"69",2013,"Super Absorbent Polymer (SAP)","Maize",9163.5,9586.5,NA,NA,1,1,"D652","151","China",NA,NA,2020,105.256647,35.068036,0.285563365,0.285563365,0.285563365,0.007558457,0.007558457,0.007558457,0.697734109,0.697734109,0.697734109,21.5664987456133,77.3684696220248,593.764252004283,149638.189182,536817.67405,4119806.7669189,0.016702526,0.016702526,0.016702526
"70",2013,"Super Absorbent Polymer (SAP)","Maize",10965,11032.5,NA,NA,1,1,"D652","151","China",NA,NA,2020,103.52,37.48,0.298812842,0.298812842,0.298812842,0.004637457,0.004637457,0.004637457,0.672089719,0.672089719,0.672089719,11.5223057758805,54.238588538524,422.021799453377,77049.8182759,362694.192614,2822065.6167985,0.0290974389999999,0.0290974389999999,0.0290974389999999
"71",2013,"Super Absorbent Polymer (SAP)","Maize",12912,14052,NA,NA,1,1,"D652","151","China",NA,NA,2020,102.89189,37.855753,0.19300723,0.19300723,0.19300723,0.021535477,0.021535477,0.021535477,0.757525633,0.757525633,0.757525633,7.55050069469289,37.0705796923179,310.398704859026,56913.982079,279429.72176,2339715.8731617,0.049467137,0.049467137,0.049467137
"72",2013,"Super Absorbent Polymer (SAP)","Maize",12680.55,12628.95,NA,NA,1,1,"D652","151","China",NA,NA,2020,98.626621,39.664442,0.22999413,0.22999413,0.22999413,0.066828611,0.066828611,0.066828611,0.644534795,0.644534795,0.644534795,20.3293585520905,72.0289022525381,446.459035238835,130434.950008,462143.763187,2864520.382814,0.125471075,0.125471075,0.125471075
"73",2013,"Super Absorbent Polymer (SAP)","Maize",10574.5,10302.5,170.412734265958,410.829039869384,2,2,"D652","152","China",NA,NA,2020,125.24,43.94,0.014487518,0.014487518,0.014487518,0.014487518,0.014487518,0.014487518,0.427507131,0.427507131,0.427507131,29.7218793680425,116.175584859187,768.391406128446,126612.821842,494898.6719858,3273285.750351,0.558005351,0.558005351,0.558005351
"74",2013,"Super Absorbent Polymer (SAP)","Maize",10574.5,10302.5,170.412734265958,410.829039869384,2,2,"D652","152",NA,NA,NA,2020,125.2414944,43.943733,0.014646484,0.014646484,0.014646484,0.014646484,0.014646484,0.014646484,0.433654697,0.433654697,0.433654697,27.1540512154884,123.802708757221,770.087431213266,117335.825651,534965.9590232,3327637.701196,0.551698819,0.551698819,0.551698819
"75",2013,"Super Absorbent Polymer (SAP)","Maize",11409,12113,835.800215362499,626.496608131281,2,2,"D652","152","China",NA,NA,2020,123.15,44.58,0.20787573,0.20787573,0.20787573,0.044707421,0.044707421,0.044707421,0.758719347,0.758719347,0.758719347,15.9941406953232,52.8695044173781,447.650160831093,120938.556819,399768.99577,3384874.83898,0.033404923,0.033404923,0.033404923
"76",2013,"Super Absorbent Polymer (SAP)","Oilcrops",1820.5,1536,400.929544932772,205.060966544099,2,2,"D652","152",NA,NA,NA,2020,125.2414944,43.943733,0.014646484,0.014646484,0.014646484,0.014646484,0.014646484,0.014646484,0.433654697,0.433654697,0.433654697,27.1540512154884,123.802708757221,770.087431213266,117335.825651,534965.9590232,3327637.701196,0.551698819,0.551698819,0.551698819
