,X,landcover_map_year,treatment,Lat_long,crop_type,mean_yield_control_kgha,mean_yield_treatment_kgha,yield_SD_control,yield_SD_treatment,replicates_control_summed,replicates_treatment_summed,n_aggregated,ma_id,measurement_id,study_id,control_id,author_year,title,study_pubyear,harvest_year,region,country,yield_unit,soil_type,temperature,precipitation,climate_zone,LRR,LRR_vi,reference,longitude_decimal,latitude_decimal,country_new,crop_type_grouped_small,crop_type_grouped_big,publication_to_harvest_year_difference,harvest_year_by_median,nat.hab.1000,nat.hab.2500,nat.hab.5000,nat.hab.edgelength.1000,nat.hab.edgelength.2500,nat.hab.edgelength.5000,nat.hab.peri.area.ratio.1000,nat.hab.peri.area.ratio.2500,nat.hab.peri.area.ratio.5000,nat.hab.wo.grass.1000,nat.hab.wo.grass.2500,nat.hab.wo.grass.5000,nat.hab.wo.grass.edgelength.1000,nat.hab.wo.grass.edgelength.2500,nat.hab.wo.grass.edgelength.5000,nat.hab.wo.grass.peri.area.ratio.1000,nat.hab.wo.grass.peri.area.ratio.2500,nat.hab.wo.grass.peri.area.ratio.5000,cropland.1000,cropland.2500,cropland.5000,crop.peri.area.ratio.1000,crop.peri.area.ratio.2500,crop.peri.area.ratio.5000,crop.edgelength.1000,crop.edgelength.2500,crop.edgelength.5000,inert.1000,inert.2500,inert.5000,inert.edgelength.1000,inert.edgelength.2500,inert.edgelength.5000,inert.peri.area.ratio.1000,inert.peri.area.ratio.2500,inert.peri.area.ratio.5000,shannon.1000,shannon.2500,shannon.5000,simpsonsevenness.1000,simpsonsevenness.2500,simpsonsevenness.5000,SR,temp_avg_1970-2000,prec_avg_1970-2000
11,11,1985,control conventional tillage-treatm no tillage,14.167121.258,Maize,2100,600,NA,NA,4,4,1,D1120,5391,26,1,,,1988,1984,IRRI,Philippines,kg/ha,,,,,NA,NA,Sharma. P. K.. Dedatta. S. K. & Redulla. C. A. Response of maize (Zea-mays-L) and mungbean (Vigna-radiata L) to tillage in relation to water-table depth in tropical lowland rice soils. Soil Till Res 12. 65-79 (1988),121.258,14.167,Philippines,Maize,Grains,4,1981,0.317021356,0.432785109,0.616848161,358374.6298,2569860.742,8668790.08,0.365528123,0.307203575,0.181764161,0.317021356,0.432785109,0.616848161,358374.6298,2569860.742,8668790.08,0.365528123,0.307203575,0.181764161,0.598667784,0.463558605,0.328100791,0.335154052,0.459581388,0.407623871,620523.6016,4117921.796,10340435.76,0.08431086,0.103656286,0.055051048,686697.31,4056226.422,7837264.264,2.6336247,2.024489513,1.84131014,1.098444371,1.07372546,1.285173548,2.985820393,2.726099652,3.139556246,434.8160191,26.96383349,164.0833333
12,12,1985,control conventional tillage-treatm no tillage,35.894-77.68,Maize,7340,7535.384615,NA,NA,52,52,13,D1120,6243,41,1,,,1992,1984,Upper Coastal Plain Research Station,USA,kg/ha,,,,,NA,NA,Wagger. M. & Denton. H. Crop and tillage rotations: grain yield. residue cover. and soil water. Soil Sci Soc Am J 56. 1233-1237 (1992),-77.68,35.894,United States of America,Maize,Grains,8,1985,0.266941851,0.448955199,0.545655922,1338446.204,8050681.48,24414583.28,1.615113556,0.924199856,0.576508563,0.189020497,0.386812375,0.500328174,711544.9275,5364170.602,15604386.24,1.212585126,0.714724188,0.401852849,0.730245828,0.549694963,0.452644157,0.168130292,0.177279157,0.183792482,381150.278,1890789.476,6456681.189,0.002812321,0.001349838,0.001699921,71068.75834,169312.5616,790800.1624,8.140154975,6.464633406,5.993952794,0.998865337,1.275154733,1.200372229,1.808777494,2.685025168,2.722701406,286.4947637,15.55733339,95.58333333
13,13,1985,control conventional tillage-treatm no tillage,36.38-79.695,Maize,3458.461538,5196.923077,NA,NA,52,52,13,D1120,6256,41,14,,,1992,1984,Upper Piedmont Research Station,USA,kg/ha,,,,,NA,NA,Wagger. M. & Denton. H. Crop and tillage rotations: grain yield. residue cover. and soil water. Soil Sci Soc Am J 56. 1233-1237 (1992),-79.695,36.38,United States of America,Maize,Grains,8,1985,0.820960989,0.878335016,0.828001664,1752379.123,8128549.627,30977895.21,0.687507246,0.476916074,0.482002072,0.509517104,0.721457947,0.700501229,700625.9701,4301972.456,17586787.06,0.442893385,0.30728807,0.323449,0.17399726,0.088687533,0.095216295,0.970057902,1.467766864,1.49658067,524044.7042,2525983.794,11060715.01,0.005041751,0.03297745,0.076782041,61607.47473,1217745.088,7079517.741,3.935715751,1.902954522,1.187879076,1.301562765,1.283039727,1.321815724,3.333818653,2.925609454,3.147830373,241.5915426,14.17935407,95.91666667
14,14,1985,simplified vs diversified,42.66206111.099863,Grape,1679.285714,916.0714286,NA,NA,1008,1008,336,FEB23_440,9304,29,1,"Favretto M.R., Paoletti M.G., Caporali F., Nannipieri P., Onnis A., Tomei P.E.",Invertebrates and nutrients in a Mediterranean vineyard mulched with subterranean clover (Trifolium subterraneum L.),1992,NA,the Maremma National Park (Tuscany),Italy,kg/ha,,,,,NA,NA,,11.099863,42.662061,Italy,Fruits,Fruits,NA,1985,0.59616853,0.516239109,0.440770711,1109838.327,3858909.866,13010053.3,0.598736763,0.384659508,0.379724114,0.572980349,0.507849061,0.435374232,976254.2102,3432192.401,11654100.59,0.547984716,0.347776082,0.3443641,0.388828678,0.479993707,0.556724396,0.341942124,0.132467959,0.09578868,413395.4011,1235616.357,4145267.999,0.015002792,0.003767184,0.002504893,164802.1601,339651.2088,1034586.657,3.53293846,4.639583778,5.313485969,1.644043343,1.590754165,1.724387811,4.502292083,4.279605096,4.141865792,254,14.68161758,48.41666667
15,15,1985,treat organic vs contr conventional,36.92-121.75,Fruit,36800,45400,4100,9200,3,3,1,A288,8199,100,1,Swezey et al.,Granny Smith conversions to organic show early success,1994,NA,,USA,Mg/ha,,,,,0.21001426,0.017825707,,-121.75,36.92,United States of America,Fruits,Fruits,NA,1987,0.081783868,0.187225912,0.347341094,732546.2806,6438899.12,30905169.43,2.884607361,1.772075416,1.146174018,0.074402698,0.154026789,0.267444656,673598.0659,5119686.89,21861094.8,2.915623462,1.712709374,1.05296414,0.128690087,0.409347135,0.480056525,1.560523874,0.586720115,0.478071064,623585.8124,4661076.138,17815960.34,0.789526044,0.403426953,0.172602381,814502.3249,3369418.435,7998901.12,0.332234826,0.430354722,0.596979124,1.16185804,1.125913693,1.318323875,2.38209293,2.011084043,2.542004134,348.3519115,14.20368218,48
16,16,1985,treat organic vs contr conventional,40.52-75.77,Cereals,7200,5470,4115.361467,4720.38134,10,8,2,A288,7882,61,1,Liebhardt et al.,Crop production during conversion from conventional to low-input methods,1989,NA,,USA,Mg/ha,,,,,-0.237129793,0.091477915,,-75.77,40.52,United States of America,Other Grains,Other Grains,NA,1982,0.185033268,0.210401987,0.227673356,963700.4738,4287624.725,15051870.73,1.675924119,1.049170644,0.85093531,0.069626328,0.143836077,0.176338108,304908.5422,1189594.996,4165168.265,1.409153153,0.425804748,0.304021746,0.326002084,0.604712282,0.701596569,1.210613475,0.481540976,0.253892829,1226489.351,5655914.532,13839475.04,0.488964648,0.184885731,0.070730076,859917.2106,3404054.853,8087516.067,0.565902064,0.947921459,1.47173395,0.988347689,0.767811807,0.733265001,2.125482248,1.706548867,1.650196468,269.4873573,10.13693742,96.66666667
17,17,1985,treat organic vs contr conventional,40.52-75.77,Oil Crops,2650,3156.666667,1117.228714,979.3535283,6,6,2,A288,7884,61,3,Liebhardt et al.,Crop production during conversion from conventional to low-input methods,1989,NA,,USA,Mg/ha,,,,,0.086696862,0.067175262,,-75.77,40.52,United States of America,Oilcrops,Oilcrops,NA,1982,0.185033268,0.210401987,0.227673356,963700.4738,4287624.725,15051870.73,1.675924119,1.049170644,0.85093531,0.069626328,0.143836077,0.176338108,304908.5422,1189594.996,4165168.265,1.409153153,0.425804748,0.304021746,0.326002084,0.604712282,0.701596569,1.210613475,0.481540976,0.253892829,1226489.351,5655914.532,13839475.04,0.488964648,0.184885731,0.070730076,859917.2106,3404054.853,8087516.067,0.565902064,0.947921459,1.47173395,0.988347689,0.767811807,0.733265001,2.125482248,1.706548867,1.650196468,269.4873573,10.13693742,96.66666667
18,18,1985,treat organic vs contr conventional,47.57.55,Cereals,44191.665,34737.5,19561.06098,16254.76763,24,24,4,A288,8269,8,1,Besson et al.,DOK-Versuch: vergleichende Langzeituntersuchungen in den drei Anbausystemen biologisch-dynamisch organisch-biologisch und konventionell. II. Ertrag der Kulturen: Gerste 1. und 2. Fruchtfolgeperiode,1992,NA,,Switzerland,Mg/ha,,,,,-0.226495166,0.024376871,,7.55,47.5,Switzerland,Other Grains,Other Grains,NA,1985,0.152804605,0.260150653,0.413710833,820396.7625,5000494.565,22131877.34,1.724807907,0.988003846,0.687434157,0.145958065,0.246670195,0.390951308,699975.7596,3985330.005,16699393.27,1.54066473,0.830459023,0.548893096,0.53829995,0.554099671,0.422793484,0.758947118,0.54627958,0.598744784,1271693.986,5888874.008,19699730.38,0.308895446,0.185749676,0.163495683,1032082.683,5305318.29,17111784.63,1.073386736,1.468094374,1.34492715,0.947398053,1.212662915,1.492875536,1.767910495,2.209645062,3.161323016,260.3907108,8.384666733,95.66666667
19,19,1985,treat organic vs contr conventional,47.65-117.42,Cereals,4900,4500,220,290,5,5,1,A288,7871,89,1,Reganold et al.,Long-term effects of organic and conventional farming on soil erosion,1987,NA,,USA,Mg/ha,,,,,-0.085157808,0.001233783,,-117.42,47.65,United States of America,Other Grains,Other Grains,NA,1980,0.132549252,0.236820619,0.362111154,1240995.347,10522280.04,40081306.29,3.007672737,2.283735021,1.422310792,0.132549252,0.236488725,0.360001787,1240995.347,10513915.74,39810213.74,3.007672737,2.285122159,1.420968314,0.004287806,0.012657872,0.026100116,5.652990741,3.179792873,2.339387612,75452.86295,783076.4523,4751711.74,0.863162941,0.750521509,0.611788729,1144454.35,6064119.506,19658486.95,0.425935067,0.415298131,0.41289836,0.994377493,1.742394974,1.63471495,1.68894377,3.342211688,3.078604675,260.746449,8.653312564,38
20,20,1990,Erosion simulation,49.71666667-112.8,Wheat,1595,599.5625,0,0,64,64,16,D352,1270,4,1,Lamey et al. 1995,,1995,NA,,,kg/ha,Dark Brown Chernozemic,,,,-0.127267707,0,,-112.8,49.71666667,Canada,Wheat,Grains,NA,1988,0.131837187,0.10871166,0.196713811,623205.2498,3284473.665,20651486.68,1.517826512,1.552159097,1.348348739,0.059300982,0.041242047,0.089504114,457548.5568,1882352.746,11617432.47,2.477446379,2.344808463,1.667066486,0.122840049,0.342145984,0.495981964,2.331159584,0.652826966,0.427697686,891831.9516,4347733.887,16516461.99,0.745322763,0.549142356,0.307304225,933104.9361,3859150.378,11253257.46,0.401989826,0.361038351,0.470322208,1.200001769,0.799045892,1.029269011,2.891334682,1.672669725,1.861739083,217.8180884,5.722020832,31.5
21,21,1990,Erosion simulation,53.433592-113.029339,Wheat,3890,2477.5,0,0,16,16,4,D352,1266,8,1,Izaurralde et al. 1998,,1998,NA,,,kg/ha,unknow,,,,-0.35206332,0,,-113.029339,53.433592,Canada,Wheat,Grains,NA,1991,0.843844145,0.852429274,0.73533627,1332459.767,4194627.222,15330723.57,0.506584444,0.252588139,0.267543131,0.838175231,0.849280677,0.731721473,1245036.476,3877253.875,13880768.48,0.476548645,0.234342433,0.243436026,0.155466508,0.144124784,0.26098301,0.559140911,0.432742184,0.459897463,270955.5982,1215038.287,9353111.474,0.000689347,0.003445942,0.00368072,5957.370797,261225.5711,2053274.408,2.772533477,3.89121881,7.158654583,1.15262203,1.034923148,1.258078016,2.367838702,2.14313328,3.157958847,223.94731,2.218833327,39.83333333
22,22,1990,Erosion simulation,53.56666667-113.55,Wheat,2619,1373.75,0,0,32,32,8,D352,1274,4,5,Lamey et al. 1995,,1995,NA,,,kg/ha,Gray Luvisol,,,,-0.380442315,0,,-113.55,53.56666667,Canada,Wheat,Grains,NA,1988,0.039113873,0.10892765,0.140782167,538296.7461,5386159.632,21639474.14,4.415078903,2.538084152,1.972437286,0.037567487,0.087896155,0.126729097,515745.279,4750880.652,19163068.08,4.404236756,2.774400611,1.940407071,0.073337609,0.071632467,0.149311007,2.907400057,3.911774423,1.981192921,664636.2151,5459071.516,23052309.59,0.887548518,0.819439883,0.709906826,960488.3959,4523946.483,16712601.32,0.347174291,0.283377452,0.302097304,1.127306418,1.656591475,1.62380164,2.124967755,4.233997369,3.262937843,225.601089,3.062458475,39.75
23,23,1990,Liming,-70.18333333,Upland Arable Land,1550,2597.5,1243.543325,1259.047259,32,32,8,D973,4940,62,1,Rosolem et al. 1995,,1995,1991,Botucatu, Brazil,t/ha,,,,,0.7,0.026,,-46.63333333,-23.55,Brazil,Grassland,Grassland,4,1988,0.072230832,0.043874886,0.070032019,377483.7917,1628213.792,11415129.69,1.687590539,1.917361573,2.105386549,0.072230832,0.043874886,0.06992593,377483.7917,1628213.792,11387871.9,1.687590539,1.917361573,2.103545763,0.002917263,0.00224338,0.014164711,8.264000401,7.356110612,3.173441427,74657.6801,319405.5287,3480090.652,0.924851906,0.953881735,0.91580327,562939.7627,1669660.313,5674386.195,0.196553652,0.090436174,0.080032124,1.135941515,1.465031344,1.72842643,2.235292663,3.648834357,5.106984648,954.7147397,18.87687492,125.4166667
24,24,1990,Liming,-75.25,Upland Arable Land,6575,7846.25,7171.917456,5381.300958,64,64,16,D973,4539,27,1,Ernani et al. 1998,,1998,1992,Lages,Brazil,t/ha,Oxisol,,,,0.152,0.025,,-50.08333333,-25.16666667,Brazil,Grassland,Grassland,6,1991,0.441893669,0.408212764,0.447439108,904958.0971,4926760.915,18854223.38,0.661117494,0.623390389,0.544125348,0.409274285,0.371344154,0.389319402,557087.0572,2850865.118,9934264.299,0.43941671,0.396538422,0.329498857,0.534452154,0.53506372,0.521891756,0.43939825,0.406266772,0.310536877,727443.3802,4208541.49,12550741.03,0.023654178,0.056723516,0.030669136,296308.9529,2343943.782,5458262.863,4.043941628,2.134367738,2.298143567,1.350363377,1.391204423,1.445787117,3.436945864,3.473719501,3.591412106,762.8059883,17.50018732,121.4166667
25,25,1990,Liming,23.5115.666666666667,Upland Arable Land,2100,2370,1140,805.7915363,12,12,4,D973,4930,66,1,Tang et al.1999,,1999,NA,Yongding, China,t/ha,,,,,0.07,0.034,,115.6666667,23.5,China,Grassland,Grassland,NA,1992,0.823273053,0.869916533,0.866819213,459585.6786,3040077.81,11218466.46,0.180267627,0.180559095,0.167169224,0.823273053,0.869916533,0.866819213,459585.6786,3040077.81,11218466.46,0.180267627,0.180559095,0.167169224,0.163385935,0.12120641,0.118546489,0.74614452,0.705391231,0.688812328,377522.173,1654791.911,6321763.515,0.013341012,0.008877057,0.014634297,144804.539,588733.5484,2613726.4,3.505004306,3.42658911,2.306957575,0.785632328,0.81162993,0.810099893,1.621650941,1.657975586,1.629425203,523.8632473,20.69549998,135.8333333
26,26,1990,Liming,55.1666666666667-119.5,Upland Arable Land,2812.5,2905,1542.627628,1005.683847,16,16,4,D973,4525,6,1,Arshad and Gill 1996,,1996,1993,Beaverlodge, Canada,t/ha,Gray Luvisol,2.1,550,,0.056,0.026,,-119.5,55.16666667,Canada,Grassland,Grassland,3,1989,0.226185993,0.255493731,0.242425636,314797.1474,1753132.365,10561971.28,0.446331541,0.352082942,0.558876914,0.226185993,0.255493731,0.242405799,314797.1474,1753132.365,10545391.37,0.446331541,0.352082942,0.558045269,0.754202845,0.736347873,0.745291237,0.201258346,0.146120643,0.181556633,473314.2372,2096930.742,10548444.05,0.019611162,0.008158396,0.012283127,386367.2809,1110470.489,5528792.298,6.318143963,6.984136996,5.773924259,0.590379696,0.680611322,0.703770311,1.559678979,1.648655389,1.622686243,203.6018171,2.24908342,40.16666667
27,27,1990,Super absorbent polymer,34.267063108.134448,Wheat,4912.5,5226,204,412.5,3,3,1,D652,1921,60,1,,,1995,NA,,China,kg/ha,,,NA,,NA,NA,"60.ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ Wei, Q.F., Zhang, Y.L., Cao, X.H., Zang, Y. S. Effect of comprehensive water conservation technology on drought resistance and yield increase in Dryland Agriculture. Chinese Journal of soil science 26(3):108-110(1995). (i",108.134448,34.267063,China,Wheat,Grains,NA,1988,0,0.000413595,0.001953181,0,43999.25935,690068.1483,NA,5.484817863,4.553867054,0,0,0.001162677,0,0,412504.462,NA,NA,4.572994199,0.895998677,0.891310002,0.902580168,0.195582983,0.225357393,0.213447479,543831.0868,3895908.759,14946718.53,0.104001323,0.108276404,0.095466651,539843.0181,3778522.424,13242549.4,1.672642127,1.799202284,1.787931498,0.44828198,0.458963524,0.466364566,1.381007628,1.391638361,1.384181443,353.3098166,12.86193765,54.33333333
