No.,DatasetID,Source,Country,Site/Region,Latitude,Longitude,Crop type,yield_control,yield_treatm,yield_measure,Treatment,QualityOfDataPoint,Coordinate_format
20,D66,NA,China,Shaanxi,35.2,107.675,wheat,5443,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
21,D66,NA,China,Shaanxi,35.2,107.675,wheat,5249,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
22,D66,NA,China,Shaanxi,35.2,107.675,wheat,5709,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
23,D66,NA,China,Shaanxi,35.2,107.675,wheat,5305,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
24,D66,NA,China,Shaanxi,35.2,107.675,wheat,5356,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
25,D66,NA,China,Jiangsu,31.28333333,119.9,rice,,6086,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
26,D66,NA,China,Jiangsu,31.28333333,119.9,rice,,7797,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
27,D66,NA,China,Jiangsu,31.28333333,119.9,rice,,7507,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
28,D66,NA,China,Jiangsu,31.28333333,119.9,rice,,7300,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
29,D66,NA,China,Jiangsu,31.28333333,119.9,rice,,5776,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
30,D66,NA,China,Jiangsu,31.28333333,119.9,rice,,7304,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
31,D66,NA,China,Jiangsu,31.28333333,119.9,rice,,7489,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
32,D66,NA,China,Jiangsu,31.28333333,119.9,rice,,7244,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
33,D66,NA,China,Gansu,38.55,103.05,maize,13070,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
34,D66,NA,China,Gansu,38.55,103.05,maize,12649,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
35,D66,NA,China,Gansu,38.55,103.05,maize,14030,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
36,D66,NA,China,Gansu,38.55,103.05,maize,13892,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
37,D66,NA,China,Gansu,38.55,103.05,maize,12732,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
38,D66,NA,China,Gansu,38.55,103.05,maize,11667,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
39,D66,NA,China,Gansu,38.55,103.05,maize,13801,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
40,D66,NA,China,Gansu,38.55,103.05,maize,13494,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
41,D66,NA,China,Hunan,26.76166667,111.8755556,rice,9980,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
42,D66,NA,China,Hunan,26.76166667,111.8755556,rice,9310,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
43,D66,NA,China,Liaoning,48.8,125.4166667,maize,11186,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
44,D66,NA,China,Liaoning,48.8,125.4166667,maize,10655,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
45,D66,NA,China,Liaoning,48.8,125.4166667,maize,9714,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
46,D66,NA,China,Liaoning,48.8,125.4166667,maize,9886,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
47,D66,NA,China,Liaoning,48.8,125.4166667,maize,10619,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
48,D66,NA,China,Liaoning,48.8,125.4166667,maize,9603,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
49,D66,NA,China,Liaoning,48.8,125.4166667,maize,10339,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
50,D66,NA,China,Liaoning,48.8,125.4166667,maize,9077,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
51,D66,NA,China,Liaoning,48.8,125.4166667,maize,8324,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
52,D66,NA,China,Liaoning,48.8,125.4166667,maize,10240,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
53,D66,NA,China,Liaoning,48.8,125.4166667,maize,8680,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
54,D66,NA,China,Liaoning,48.8,125.4166667,maize,8189,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
55,D66,NA,China,Liaoning,48.8,125.4166667,maize,10288,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
56,D66,NA,China,Liaoning,48.8,125.4166667,maize,9150,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
57,D66,NA,China,Liaoning,48.8,125.4166667,maize,8641,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
58,D66,NA,China,Liaoning,48.8,125.4166667,maize,9845,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
59,D66,NA,China,Liaoning,48.8,125.4166667,maize,8098,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
60,D66,NA,China,Liaoning,48.8,125.4166667,maize,8620,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
61,D66,NA,China,Hunan,26.75,111.8666667,rice,10680,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
62,D66,NA,China,Hunan,26.75,111.8666667,rice,11020,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
63,D66,NA,China,Hunan,26.75,111.8666667,rice,9530,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
64,D66,NA,China,Hunan,26.75,111.8666667,rice,10630,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
65,D66,NA,China,Shaanxi,34.35,109.8333333,wheat,,5513.6,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
66,D66,NA,China,Shaanxi,34.35,109.8333333,wheat,,5660.3,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
67,D66,NA,China,Shaanxi,34.35,109.8333333,wheat,,4826.9,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
68,D66,NA,China,Shaanxi,34.35,109.8333333,wheat,,5080.3,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
69,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3141.4,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
70,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3311.6,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
71,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3172.3,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
72,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3327.9,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
73,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3108.3,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
74,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3167.8,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
75,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3124.6,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
76,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3276.2,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
77,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,2379.1,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
78,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3341.4,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
79,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3329.6,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
80,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3527.1,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
81,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3248.8,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
82,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3938,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
83,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3800,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
84,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3648.1,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
85,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,2551.5,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
86,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3503,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
87,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3126.4,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
88,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3348.9,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
89,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,2582.8,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
90,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3388.1,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
91,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3420.2,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
92,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3555.6,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
93,D66,NA,China,Gansu,38.55,103.05,maize,11133,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
94,D66,NA,China,Gansu,38.55,103.05,maize,12198,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
95,D66,NA,China,Gansu,38.55,103.05,maize,11678,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
96,D66,NA,China,Gansu,38.55,103.05,maize,11340,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
97,D66,NA,China,Gansu,38.55,103.05,maize,11340,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
98,D66,NA,China,Gansu,38.55,103.05,maize,12523,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
99,D66,NA,China,Gansu,38.55,103.05,maize,15821,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
100,D66,NA,China,Gansu,38.55,103.05,maize,15993,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
101,D66,NA,China,Gansu,38.55,103.05,maize,16726,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
102,D66,NA,China,Gansu,38.55,103.05,maize,15632,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
103,D66,NA,China,Gansu,38.55,103.05,maize,15632,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
104,D66,NA,China,Gansu,38.55,103.05,maize,16334,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
105,D66,NA,China,Sichuan,30.75,106.0333333,maize,4450,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
106,D66,NA,China,Sichuan,30.75,106.0333333,maize,6625,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
107,D66,NA,China,Sichuan,30.75,106.0333333,maize,6550,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
108,D66,NA,China,Sichuan,30.75,106.0333333,maize,6400,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
109,D66,NA,China,Sichuan,30.75,106.0333333,maize,4946,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
110,D66,NA,China,Sichuan,30.75,106.0333333,maize,4699,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
111,D66,NA,China,Sichuan,30.75,106.0333333,maize,4651,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
112,D66,NA,China,Shaanxi,35.2,107.75,wheat,,2448,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
113,D66,NA,China,Shaanxi,35.2,107.75,wheat,,7667,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
114,D66,NA,China,Shaanxi,35.2,107.75,wheat,,5383,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
115,D66,NA,China,Shaanxi,35.2,107.75,wheat,2973,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
116,D66,NA,China,Shaanxi,35.2,107.75,wheat,3067,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
117,D66,NA,China,Heilongjiang,44.02888889,128.7411111,wheat,5133,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
118,D66,NA,China,Heilongjiang,44.02888889,128.7411111,wheat,5085,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
119,D66,NA,China,Heilongjiang,44.02888889,128.7411111,wheat,5124,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
120,D66,NA,China,Heilongjiang,44.02888889,128.7411111,wheat,5087,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
121,D66,NA,China,Xinjiang,42.75888889,86.62583333,wheat,4855.5,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
122,D66,NA,China,Xinjiang,42.75888889,86.62583333,wheat,5452.5,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
123,D66,NA,China,Xinjiang,42.75888889,86.62583333,wheat,,5064,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
124,D66,NA,China,Xinjiang,42.75888889,86.62583333,wheat,,4917,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
125,D66,NA,China,Anhui,32.2,118.1666667,rice,,7262.5,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
126,D66,NA,China,Anhui,32.2,118.1666667,rice,,7925,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
127,D66,NA,China,Anhui,32.2,118.1666667,rice,,7308.33,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
128,D66,NA,China,Anhui,32.2,118.1666667,rice,,6408.33,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
129,D66,NA,China,Hunan,26.76166667,111.8755556,rice,,10779.7,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
130,D66,NA,China,Hunan,26.76166667,111.8755556,rice,,9939.1,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
131,D66,NA,China,Gansu,38.61666667,102.6666667,wheat,,7188,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
132,D66,NA,China,Gansu,38.61666667,102.6666667,maize,,7057,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
133,D66,NA,China,Gansu,38.61666667,102.6666667,wheat,,6511,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
134,D66,NA,China,Gansu,38.61666667,102.6666667,maize,,9340,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
135,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,,3458.24,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
136,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,,4801.79,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
137,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,,4602.52,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
138,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,,4660.3,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
139,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,,4889.62,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
140,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,,5960.32,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
141,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,,2865.36,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
142,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,,5608.92,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
143,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,,4723.93,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
144,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,,5638.93,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
145,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,,6411.09,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
146,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,,6297.52,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
147,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,,4129.66,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
148,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,6444.61,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
149,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,7473.9,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
150,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,7588.91,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
151,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,8046.78,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
152,D66,NA,China,Qinghai,37.03333333,102.2833333,wheat,8133.22,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
153,D66,NA,China,Sichuan,30.86777778,106.0686111,wheat,,5816.7,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
154,D66,NA,China,Sichuan,30.86777778,106.0686111,wheat,,5466.7,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
155,D66,NA,China,Sichuan,30.86777778,106.0686111,wheat,,5550,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
156,D66,NA,China,Sichuan,30.86777778,106.0686111,wheat,,5533.3,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
157,D66,NA,China,Shaanxi,34.72722222,108.1927778,wheat,,3053,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
158,D66,NA,China,Shaanxi,34.72722222,108.1927778,wheat,,3452,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
159,D66,NA,China,Shaanxi,35.2,107.675,wheat,,2291,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
160,D66,NA,China,Shaanxi,35.2,107.675,wheat,,2246,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
161,D66,NA,China,Guangxi,22.58333333,109.0333333,rice,4426.5,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
162,D66,NA,China,Guangxi,22.58333333,109.0333333,rice,4950,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
163,D66,NA,China,Shanxi,34.58333333,110.25,wheat,3933,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
164,D66,NA,China,Shanxi,34.58333333,110.25,wheat,4900,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
165,D66,NA,China,Shanxi,34.58333333,110.25,wheat,4833,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
166,D66,NA,China,Gansu,38.55,103.05,wheat,6438.75,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
167,D66,NA,China,Gansu,38.55,103.05,wheat,7264.96,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
168,D66,NA,China,Gansu,38.55,103.05,wheat,6951.57,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
169,D66,NA,China,Gansu,38.55,103.05,wheat,8433.05,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
170,D66,NA,China,Gansu,38.55,103.05,wheat,8233.62,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
171,D66,NA,China,Gansu,38.55,103.05,wheat,7806.27,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
172,D66,NA,China,Gansu,38.55,103.05,wheat,6068.38,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
173,D66,NA,China,Gansu,38.55,103.05,wheat,6581.2,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
174,D66,NA,China,Gansu,38.55,103.05,wheat,6866.1,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
175,D66,NA,China,Gansu,38.55,103.05,wheat,8005.7,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
176,D66,NA,China,Gansu,38.55,103.05,wheat,5555.56,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
177,D66,NA,China,Gansu,38.55,103.05,wheat,7435.9,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
178,D66,NA,China,Gansu,38.55,103.05,wheat,6427,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
179,D66,NA,China,Gansu,38.55,103.05,wheat,6941,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
180,D66,NA,China,Gansu,38.55,103.05,wheat,8215,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
181,D66,NA,China,Gansu,38.55,103.05,wheat,7252,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
182,D66,NA,China,Gansu,38.55,103.05,wheat,8406,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
183,D66,NA,China,Gansu,38.55,103.05,wheat,7771,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
184,D66,NA,China,Gansu,38.06666667,102.5833333,wheat,5565,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
185,D66,NA,China,Gansu,38.06666667,102.5833333,wheat,6450,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
186,D66,NA,China,Gansu,38.06666667,102.5833333,wheat,6450,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
187,D66,NA,China,Guizhou,27.03972222,107.24,wheat,2125,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
