ma_id,row_id,study_id,comparison_id,author_year,title,study_pubyear,harvest_year,longitude,latitude,region,country,control_replicates,treatment_replicates,crop_type,treatment,yield_control,yield_treatment,yield_SD_control,yield_SD_treatment,yield_unit,soil_type,temperature,precipitation,climate_zone,LRR,LRR_vi,reference
D331,16,3,2,,Increasing straw incorporation rates improves subsoil fertility and crop yield in the Huang-Huai-Hai Plain of China,,,116°18′,37°27′,Huang-Huai-Hai Plain,China,3,3,Maize,Straw return,10300,11400,130,80,kg/ha,,,,,,,
D331,17,3,3,,Increasing straw incorporation rates improves subsoil fertility and crop yield in the Huang-Huai-Hai Plain of China,,,116°18′,37°27′,Huang-Huai-Hai Plain,China,3,3,Maize,Straw return,10200,10600,40,30,kg/ha,,,,,,,
D331,18,3,4,,Increasing straw incorporation rates improves subsoil fertility and crop yield in the Huang-Huai-Hai Plain of China,,,116°18′,37°27′,Huang-Huai-Hai Plain,China,3,3,Wheat,Straw return,5220,5390,60,50,kg/ha,,,,,,,
D331,19,3,5,,Increasing straw incorporation rates improves subsoil fertility and crop yield in the Huang-Huai-Hai Plain of China,,,116°18′,37°27′,Huang-Huai-Hai Plain,China,3,3,Wheat,Straw return,5510,5850,50,70,kg/ha,,,,,,,
D331,20,3,6,,Increasing straw incorporation rates improves subsoil fertility and crop yield in the Huang-Huai-Hai Plain of China,,,116°18′,37°27′,Huang-Huai-Hai Plain,China,3,3,Wheat,Straw return,5110,5670,110,130,kg/ha,,,,,,,
D331,21,4,1,,Effects of straw mulching and plastic film mulching on improving soil organic carbon and nitrogen fractions crop yield and water use efficiency in the Loess Plateau China,,,108°4′,34°18′,Loess Plateau,China,3,3,Maize,Straw return,9565,9905,956.5,990.5,kg/ha,,,,,,,
D331,22,4,2,,Effects of straw mulching and plastic film mulching on improving soil organic carbon and nitrogen fractions crop yield and water use efficiency in the Loess Plateau China,,,108°4′,34°18′,Loess Plateau,China,3,3,Maize,Straw return,5579,5822,557.9,582.2,kg/ha,,,,,,,
D331,23,4,3,,Effects of straw mulching and plastic film mulching on improving soil organic carbon and nitrogen fractions crop yield and water use efficiency in the Loess Plateau China,,,108°4′,34°18′,Loess Plateau,China,3,3,Maize,Straw return,7160,8111,716,811.1,kg/ha,,,,,,,
D331,24,4,4,,Effects of straw mulching and plastic film mulching on improving soil organic carbon and nitrogen fractions crop yield and water use efficiency in the Loess Plateau China,,,108°4′,34°18′,Loess Plateau,China,3,3,Wheat,Straw return,7545,8271,754.5,827.1,kg/ha,,,,,,,
D331,25,4,5,,Effects of straw mulching and plastic film mulching on improving soil organic carbon and nitrogen fractions crop yield and water use efficiency in the Loess Plateau China,,,108°4′,34°18′,Loess Plateau,China,3,3,Wheat,Straw return,7149,7580,714.9,758,kg/ha,,,,,,,
D331,26,4,6,,Effects of straw mulching and plastic film mulching on improving soil organic carbon and nitrogen fractions crop yield and water use efficiency in the Loess Plateau China,,,108°4′,34°18′,Loess Plateau,China,3,3,Wheat,Straw return,4801,5028,480.1,502.8,kg/ha,,,,,,,
D331,27,5,1,,Dissolved organic nitrogen fluxes and crop yield after longterm crop straw incorporation,,,105°28′,31°16′,,China,3,3,Maize,Straw return,6800,7500,1200,1100,kg/ha,,,,,,,
D331,28,5,2,,Dissolved organic nitrogen fluxes and crop yield after longterm crop straw incorporation,,,105°28′,31°16′,,China,3,3,Maize,Straw return,7500,7600,600,300,kg/ha,,,,,,,
D331,29,5,3,,Dissolved organic nitrogen fluxes and crop yield after longterm crop straw incorporation,,,105°28′,31°16′,,China,3,3,Maize,Straw return,7300,8000,600,500,kg/ha,,,,,,,
D331,30,5,4,,Dissolved organic nitrogen fluxes and crop yield after longterm crop straw incorporation,,,105°28′,31°16′,,China,3,3,Wheat,Straw return,3700,3600,400,700,kg/ha,,,,,,,
D331,31,5,5,,Dissolved organic nitrogen fluxes and crop yield after longterm crop straw incorporation,,,105°28′,31°16′,,China,3,3,Wheat,Straw return,3500,3800,400,600,kg/ha,,,,,,,
D331,32,5,6,,Dissolved organic nitrogen fluxes and crop yield after longterm crop straw incorporation,,,105°28′,31°16′,,China,3,3,Wheat,Straw return,4000,3900,400,200,kg/ha,,,,,,,
D331,33,6,1,,Alleviating global warming potential by soil carbon sequestration: A multi-level straw incorporation experiment from a maize cropping system in Northeast China,,,123°23′,41°32′,,China,3,3,Maize,Straw return,9790,11841,109.116,637.376,kg/ha,,,,,,,
D331,34,7,1,,Influence of straw incorporation on soil water utilization and summer maize productivity: A five-year field study on the Loess Plateau of China,,,108°24′,34°20′,Loess Plateau,China,3,3,Maize,Straw return,10010.6,10436.2,1001.06,1043.62,kg/ha,,,,,,,
D331,35,7,2,,Influence of straw incorporation on soil water utilization and summer maize productivity: A five-year field study on the Loess Plateau of China,,,108°24′,34°20′,Loess Plateau,China,3,3,Maize,Straw return,9904.26,10329.8,990.426,1032.98,kg/ha,,,,,,,
D331,36,7,3,,Influence of straw incorporation on soil water utilization and summer maize productivity: A five-year field study on the Loess Plateau of China,,,108°24′,34°20′,Loess Plateau,China,3,3,Maize,Straw return,7031.91,7776.6,703.191,777.66,kg/ha,,,,,,,
D331,37,7,4,,Influence of straw incorporation on soil water utilization and summer maize productivity: A five-year field study on the Loess Plateau of China,,,108°24′,34°20′,Loess Plateau,China,3,3,Maize,Straw return,8574.47,10010.6,857.447,1001.06,kg/ha,,,,,,,
D331,38,7,5,,Influence of straw incorporation on soil water utilization and summer maize productivity: A five-year field study on the Loess Plateau of China,,,108°24′,34°20′,Loess Plateau,China,3,3,Maize,Straw return,5702.13,6978.72,570.213,697.872,kg/ha,,,,,,,
D331,39,8,1,,Effects of irrigation fertilization and crop straw management on nitrous oxide and nitric oxide emissions from a wheat–maize rotation field in northern China,,,110°42.59′,34°55.51′,,China,4,4,Maize,Straw return,7600,7506,1086,850,kg/ha,,,,,,,
D331,40,8,2,,Effects of irrigation fertilization and crop straw management on nitrous oxide and nitric oxide emissions from a wheat–maize rotation field in northern China,,,110°42.59′,34°55.51′,,China,4,4,Wheat,Straw return,5585,6116,360,722,kg/ha,,,,,,,
D331,41,9,1,,Impacts of straw biogas slurry manure and mineral fertilizer applications on several biochemical properties and crop yield in a wheat-maize cropping system,,,116°26′,37°9′,,China,3,3,Maize,Straw return,8663,8961.4,154.41,137.26,kg/ha,,,,,,,
D331,42,9,2,,Impacts of straw biogas slurry manure and mineral fertilizer applications on several biochemical properties and crop yield in a wheat-maize cropping system,,,116°26′,37°9′,,China,3,3,Maize,Straw return,9242.8,9363.21,137.25,120.1,kg/ha,,,,,,,
D331,43,9,3,,Impacts of straw biogas slurry manure and mineral fertilizer applications on several biochemical properties and crop yield in a wheat-maize cropping system,,,116°26′,37°9′,,China,3,3,Maize,Straw return,9210,9656.36,171.57,211.6,kg/ha,,,,,,,
D331,44,9,4,,Impacts of straw biogas slurry manure and mineral fertilizer applications on several biochemical properties and crop yield in a wheat-maize cropping system,,,116°26′,37°9′,,China,3,3,Maize,Straw return,9423.1,10212.6,142.97,148.7,kg/ha,,,,,,,
D331,45,9,5,,Impacts of straw biogas slurry manure and mineral fertilizer applications on several biochemical properties and crop yield in a wheat-maize cropping system,,,116°26′,37°9′,,China,3,3,Wheat,Straw return,6478.52,6830.08,107.42,78.12,kg/ha,,,,,,,
D331,46,9,6,,Impacts of straw biogas slurry manure and mineral fertilizer applications on several biochemical properties and crop yield in a wheat-maize cropping system,,,116°26′,37°9′,,China,3,3,Wheat,Straw return,6400.39,6986.33,117.19,146.48,kg/ha,,,,,,,
D331,47,9,7,,Impacts of straw biogas slurry manure and mineral fertilizer applications on several biochemical properties and crop yield in a wheat-maize cropping system,,,116°26′,37°9′,,China,3,3,Wheat,Straw return,6546.88,7083.98,68.35,156.25,kg/ha,,,,,,,
D331,48,9,8,,Impacts of straw biogas slurry manure and mineral fertilizer applications on several biochemical properties and crop yield in a wheat-maize cropping system,,,116°26′,37°9′,,China,3,3,Wheat,Straw return,6742.19,7484.38,166.01,175.78,kg/ha,,,,,,,
D331,49,10,1,,Effect of surface straw incorporation rate on water-salt balance and maize yield in soil subject to secondary salinization with brackish water Irrigation,,,118°60′,31°86′,,China,3,3,Maize,Straw return,5988.57,6460.95,396.19,60.95,kg/ha,,,,,,,
D331,50,10,2,,Effect of surface straw incorporation rate on water-salt balance and maize yield in soil subject to secondary salinization with brackish water Irrigation,,,118°60′,31°86′,,China,3,3,Maize,Straw return,5577.14,6293.33,274.29,167.62,kg/ha,,,,,,,
D331,51,11,1,,Effect of straw incorporation on soil moisture evapotranspiration and rainfall-use efficiency of maize under dryland farming,,,110°17′,35°24′,,China,3,3,Maize,Straw return,7493.98,10457.8,749.398,1045.78,kg/ha,,,,,,,
D331,52,11,2,,Effect of straw incorporation on soil moisture evapotranspiration and rainfall-use efficiency of maize under dryland farming,,,110°17′,35°24′,,China,3,3,Maize,Straw return,7186.75,8668.67,718.675,866.867,kg/ha,,,,,,,
D331,53,11,3,,Effect of straw incorporation on soil moisture evapotranspiration and rainfall-use efficiency of maize under dryland farming,,,110°17′,35°24′,,China,3,3,Maize,Straw return,7060.24,7945.78,706.024,794.578,kg/ha,,,,,,,
D331,54,12,1,,Changes in soil characteristics and maize yield under straw returning system in dryland farming,,,110°17′,35°24′,,China,3,3,Maize,Straw return,5684.3,6785.6,568.43,678.56,kg/ha,,,,,,,
D331,55,12,2,,Changes in soil characteristics and maize yield under straw returning system in dryland farming,,,110°17′,35°24′,,China,3,3,Maize,Straw return,7495.8,10457.2,749.58,1045.72,kg/ha,,,,,,,
D331,56,12,3,,Changes in soil characteristics and maize yield under straw returning system in dryland farming,,,110°17′,35°24′,,China,3,3,Maize,Straw return,7178,8655.4,717.8,865.54,kg/ha,,,,,,,
D331,57,12,4,,Changes in soil characteristics and maize yield under straw returning system in dryland farming,,,110°17′,35°24′,,China,3,3,Maize,Straw return,7036.7,7949.2,703.67,794.92,kg/ha,,,,,,,
D331,58,12,5,,Changes in soil characteristics and maize yield under straw returning system in dryland farming,,,110°17′,35°24′,,China,3,3,Maize,Straw return,6679.2,8316,667.92,831.6,kg/ha,,,,,,,
D331,59,14,1,,Impacts of fertilization alternatives and crop straw incorporation on N2O emissions from a spring maize field in Northeastern China,,,121°21′,41°8′,,China,3,3,Maize,Straw return,9977,10590,187.056,294.44,kg/ha,,,,,,,
D331,60,14,2,,Impacts of fertilization alternatives and crop straw incorporation on N2O emissions from a spring maize field in Northeastern China,,,121°21′,41°8′,,China,3,3,Maize,Straw return,9746,10682,271.924,334.276,kg/ha,,,,,,,
D331,61,15,1,,Straw return reduces yield-scaled N2O plus NO emissions from annual winter wheat-based cropping systems in the North China Plain,,,117°59′,36°58′,,China,3,3,Wheat,Straw return,5850,6870,86.6,311.76,kg/ha,,,,,,,
D331,62,15,2,,Straw return reduces yield-scaled N2O plus NO emissions from annual winter wheat-based cropping systems in the North China Plain,,,117°59′,36°58′,,China,3,3,Maize,Straw return,7580,8590,173.2,588.88,kg/ha,,,,,,,
D331,63,16,1,,Effects of straw incorporation on the soil nutrient contents enzyme activities and crop yield in a semiarid region of China,,,106°45′,35°79′,,China,3,3,Maize,Straw return,3629,4744,13,19,kg/ha,,,,,,,
D331,64,16,2,,Effects of straw incorporation on the soil nutrient contents enzyme activities and crop yield in a semiarid region of China,,,106°45′,35°79′,,China,3,3,Maize,Straw return,5377,6352,13,22,kg/ha,,,,,,,
D331,65,17,1,,Long-term effects of potassium fertilization and straw return on soil potassium levels and crop yields in north-central China,,,115°13′,37°55′,,China,4,4,Maize,Straw return,6982,7060,688.688,787.072,kg/ha,,,,,,,
D331,66,17,2,,Long-term effects of potassium fertilization and straw return on soil potassium levels and crop yields in north-central China,,,115°13′,37°55′,,China,4,4,Maize,Straw return,6310,6363,661.856,415.896,kg/ha,,,,,,,
D331,67,17,3,,Long-term effects of potassium fertilization and straw return on soil potassium levels and crop yields in north-central China,,,115°13′,37°55′,,China,4,4,Maize,Straw return,8525,8675,527.696,541.112,kg/ha,,,,,,,
D331,68,17,4,,Long-term effects of potassium fertilization and straw return on soil potassium levels and crop yields in north-central China,,,115°13′,37°55′,,China,4,4,Maize,Straw return,9348,9512,523.224,559,kg/ha,,,,,,,
D331,69,17,5,,Long-term effects of potassium fertilization and straw return on soil potassium levels and crop yields in north-central China,,,115°13′,37°55′,,China,4,4,Wheat,Straw return,6352,6381,1225.328,1180.608,kg/ha,,,,,,,
D331,70,17,6,,Long-term effects of potassium fertilization and straw return on soil potassium levels and crop yields in north-central China,,,115°13′,37°55′,,China,4,4,Wheat,Straw return,6605,6829,661.856,657.384,kg/ha,,,,,,,
D331,71,17,7,,Long-term effects of potassium fertilization and straw return on soil potassium levels and crop yields in north-central China,,,115°13′,37°55′,,China,4,4,Wheat,Straw return,6280,6390,657.384,523.224,kg/ha,,,,,,,
D331,72,17,8,,Long-term effects of potassium fertilization and straw return on soil potassium levels and crop yields in north-central China,,,115°13′,37°55′,,China,4,4,Wheat,Straw return,6883,7081,1350.544,1547.312,kg/ha,,,,,,,
D331,73,18,1,,Comparative analysis on effect of wheat straw and its biochar amendment on net global warming potential under wheat-maize rotation ecosystem in the Guanzhong Plain,,,108°4′,34°17′,,China,3,3,Wheat,Straw return,5637.21,7423.26,641.86,558.14,kg/ha,,,,,,,
D331,74,18,2,,Comparative analysis on effect of wheat straw and its biochar amendment on net global warming potential under wheat-maize rotation ecosystem in the Guanzhong Plain,,,108°4′,34°17′,,China,3,3,Maize,Straw return,4638.89,3972.22,472.22,277.78,kg/ha,,,,,,,
D331,75,19,1,,Effects of crop residues incorporation and N fertilizer utilization on the matter production of summer maize,,,116°,39°56′,,China,3,3,Maize,Straw return,6614.4,7297.65,661.44,729.765,kg/ha,,,,,,,
D331,76,19,2,,Effects of crop residues incorporation and N fertilizer utilization on the matter production of summer maize,,,116°,39°56′,,China,3,3,Maize,Straw return,7067.7,7385.1,706.77,738.51,kg/ha,,,,,,,
D331,77,20,1,,Effect of straw returning on soil available nutrients and microbe biomass under different tillage methods,,,122°22′,43°36′,,China,3,3,Maize,Straw return,11010,11920,1101,1192,kg/ha,,,,,,,
D331,78,20,2,,Effect of straw returning on soil available nutrients and microbe biomass under different tillage methods,,,122°22′,43°36′,,China,3,3,Maize,Straw return,11500,12900,1150,1290,kg/ha,,,,,,,
D331,79,21,1,,Effects of fertilization on crop yield and soil phosphorus availablity based on the returning straw,,,115°6′,32°55′,,China,4,4,Maize,Straw return,7584.95,8434.47,728.16,546.11,kg/ha,,,,,,,
D331,80,21,2,,Effects of fertilization on crop yield and soil phosphorus availablity based on the returning straw,,,115°6′,32°55′,,China,4,4,Maize,Straw return,9101.95,9526.73,364.1,849.5,kg/ha,,,,,,,
D331,81,21,3,,Effects of fertilization on crop yield and soil phosphorus availablity based on the returning straw,,,115°6′,32°55′,,China,4,4,Wheat,Straw return,6796.12,6128.68,728.15,303.4,kg/ha,,,,,,,
D331,82,21,4,,Effects of fertilization on crop yield and soil phosphorus availablity based on the returning straw,,,115°6′,32°55′,,China,4,4,Wheat,Straw return,7706.31,6917.49,1092.23,364.1,kg/ha,,,,,,,
D331,83,22,1,,Effects of straw returning to field in the alternate years on nutrient accumulation and leaf physiological characteristics of continuous cropping maize,,,122°22′,43°36′,,China,3,3,Maize,Straw return,10200,13000,1020,1300,kg/ha,,,,,,,
D331,84,23,1,,Effects of wheat straw returned to field and combined fertilizer application on growth and yield of summer maize in lime concretion black soil area,,,118.21716,33.45996,,China,3,3,Maize,Straw return,10166.7,9308.3,1016.67,930.83,kg/ha,,,,,,,
D331,85,24,1,,Effects of different straw mulching quantity on soil evaporation and soil temperature in summer corn yield,,,113°53′,35°19′,,China,3,3,Maize,Straw return,9532.5,10830,953.25,1083,kg/ha,,,,,,,
D331,86,25,1,,Effects of straw mulching and nitrogen fertilizer application on nitrogen use in summer maize and soil nitrate content,,,114,35,,China,3,3,Maize,Straw return,6350,6667,635,666.7,kg/ha,,,,,,,
D331,87,25,2,,Effects of straw mulching and nitrogen fertilizer application on nitrogen use in summer maize and soil nitrate content,,,114,35,,China,3,3,Maize,Straw return,8152,8624,815.2,862.4,kg/ha,,,,,,,
D331,88,25,3,,Effects of straw mulching and nitrogen fertilizer application on nitrogen use in summer maize and soil nitrate content,,,114,35,,China,3,3,Maize,Straw return,10500,11500,1050,1150,kg/ha,,,,,,,
D331,89,25,4,,Effects of straw mulching and nitrogen fertilizer application on nitrogen use in summer maize and soil nitrate content,,,114,35,,China,3,3,Maize,Straw return,10585,11655,1058.5,1165.5,kg/ha,,,,,,,
D331,90,25,5,,Effects of straw mulching and nitrogen fertilizer application on nitrogen use in summer maize and soil nitrate content,,,114,35,,China,3,3,Maize,Straw return,10530,11477,1053,1147.7,kg/ha,,,,,,,
D331,91,26,1,,Effects of combined chemical fertilizer with return of total wheat straw on soil nutrient and maize yield in Shajiang black soil region along Huai river,,,117°21′,33°9′,,China,3,3,Maize,Straw return,5945.43,7036.1,669.15,702.67,kg/ha,,,,,,,
D331,92,27,1,,Effect of long-term fertilization on photosynthetic property and yield of summer maize (Zea mays L.),,,115.670177,37.73892,,China,3,3,Maize,Straw return,2292,3847.5,229.2,384.75,kg/ha,,,,,,,
D331,93,27,2,,Effect of long-term fertilization on photosynthetic property and yield of summer maize (Zea mays L.),,,115.670177,37.73892,,China,3,3,Maize,Straw return,6334.5,6499.5,633.45,649.95,kg/ha,,,,,,,
D331,94,27,3,,Effect of long-term fertilization on photosynthetic property and yield of summer maize (Zea mays L.),,,115.670177,37.73892,,China,3,3,Maize,Straw return,1653,3339,165.3,333.9,kg/ha,,,,,,,
D331,95,27,4,,Effect of long-term fertilization on photosynthetic property and yield of summer maize (Zea mays L.),,,115.670177,37.73892,,China,3,3,Maize,Straw return,6156,6331.5,615.6,633.15,kg/ha,,,,,,,
D331,96,28,1,,Effects of straw return on soil Physico-chemical properties of chernozem in Northeast China and maize yield therein,,,125°21′,44°26′,,China,3,3,Maize,Straw return,8216.91,9816.18,275.74,275.72,kg/ha,,,,,,,
D331,97,29,1,,Effects of long-term additional application of organic manure or straw incorporation on soil nitrogen leaching risk,,,116°14′,40°13′,,China,3,3,Maize,Straw return,6300,6700,1760,1710,kg/ha,,,,,,,
D331,98,29,2,,Effects of long-term additional application of organic manure or straw incorporation on soil nitrogen leaching risk,,,116°14′,40°13′,,China,3,3,Wheat,Straw return,3400,4200,100,610,kg/ha,,,,,,,
D331,99,30,1,,Soil respiration and water use efficiency of corn field under conservative tillage with and without straw incorporation,,,118°11′,39°36′,,China,3,3,Maize,Straw return,8760,9540,876,954,kg/ha,,,,,,,
D331,100,30,2,,Soil respiration and water use efficiency of corn field under conservative tillage with and without straw incorporation,,,118°11′,39°36′,,China,3,3,Maize,Straw return,9760,10420,976,1042,kg/ha,,,,,,,
D331,101,30,3,,Soil respiration and water use efficiency of corn field under conservative tillage with and without straw incorporation,,,118°11′,39°36′,,China,3,3,Maize,Straw return,10060,10510,1006,1051,kg/ha,,,,,,,
D331,102,31,1,,Effects of Long-term organic amendments on Soil N2O emissions from winter wheat-maize cropping systems in the Guanzhong Plain,,,108°,34°17′,,China,3,3,Wheat,Straw return,4975.5,5893.5,497.55,589.35,kg/ha,,,,,,,
D331,103,31,2,,Effects of Long-term organic amendments on Soil N2O emissions from winter wheat-maize cropping systems in the Guanzhong Plain,,,108°,34°17′,,China,3,3,Maize,Straw return,6704.7,7838.9,670.47,783.89,kg/ha,,,,,,,
D331,104,32,1,,Effect of different tillage managements on carbon dioxide emission and content of activated carbon in black soil,,,126°8′53.26″,46°35′24.9″,,China,3,3,Maize,Straw return,11484.9,12757.3,474.7,522.3,kg/ha,,,,,,,
D331,105,32,2,,Effect of different tillage managements on carbon dioxide emission and content of activated carbon in black soil,,,126°8′53.26″,46°35′24.9″,,China,3,3,Maize,Straw return,12462.9,13782.7,1519.2,427.3,kg/ha,,,,,,,
D331,106,33,1,,Response of the active carbon pool and enzymatic activity of soils to maize straw returning,,,124°48′34″,43°30′23″,,China,3,3,Maize,Straw return,7407.04,7743.87,404.35,204.31,kg/ha,,,,,,,
D331,107,34,1,,Impacts of minimum tillage and no-tillage systems on soil NO3--N content and water use efficiency of winter wheat/summer corn cultivation,,,120.52,37.65,,China,3,3,Maize,Straw return,9741.35,10138.25,974.135,1013.825,kg/ha,,,,,,,
D331,108,34,2,,Impacts of minimum tillage and no-tillage systems on soil NO3--N content and water use efficiency of winter wheat/summer corn cultivation,,,120.52,37.65,,China,3,3,Wheat,Straw return,8123.85,8149.35,812.385,814.935,kg/ha,,,,,,,
D331,109,35,1,,Effects of different fertilization treatments on growthdevelopment and yield of maize,,,124.1,42.78,,China,3,3,Maize,Straw return,9141.4,9601.7,914.14,960.17,kg/ha,,,,,,,
D331,110,36,1,,Effect of annual straw return model on soil carbon sequestration and crop yields in winter wheat-summer maize rotation farmland,,,117°9′,36°9′,,China,3,3,Maize,Straw return,9257.65,10491.05,925.765,1049.105,kg/ha,,,,,,,
D331,111,36,2,,Effect of annual straw return model on soil carbon sequestration and crop yields in winter wheat-summer maize rotation farmland,,,117°9′,36°9′,,China,3,3,Maize,Straw return,9505.57,10622.24,950.557,1062.224,kg/ha,,,,,,,
D331,112,36,3,,Effect of annual straw return model on soil carbon sequestration and crop yields in winter wheat-summer maize rotation farmland,,,117°9′,36°9′,,China,3,3,Wheat,Straw return,8320.2,10340.8,832.02,1034.08,kg/ha,,,,,,,
D331,113,36,4,,Effect of annual straw return model on soil carbon sequestration and crop yields in winter wheat-summer maize rotation farmland,,,117°9′,36°9′,,China,3,3,Wheat,Straw return,7186.2,7759.9,718.62,775.99,kg/ha,,,,,,,
D331,114,37,1,,Effects of straw returning method partnered with different tillage methods on migration of soil water,,,129°58′,44°60′,,China,3,3,Maize,Straw return,11356.05,10983.9,1135.605,1098.39,kg/ha,,,,,,,
D331,115,37,2,,Effects of straw returning method partnered with different tillage methods on migration of soil water,,,129°58′,44°60′,,China,3,3,Maize,Straw return,10393.2,10428,1039.32,1042.8,kg/ha,,,,,,,
D331,116,37,3,,Effects of straw returning method partnered with different tillage methods on migration of soil water,,,129°58′,44°60′,,China,3,3,Maize,Straw return,11133.15,10541.7,1113.315,1054.17,kg/ha,,,,,,,
D331,117,37,4,,Effects of straw returning method partnered with different tillage methods on migration of soil water,,,129°58′,44°60′,,China,3,3,Maize,Straw return,10677.44,10688.9,1067.744,1068.89,kg/ha,,,,,,,
D331,118,37,5,,Effects of straw returning method partnered with different tillage methods on migration of soil water,,,129°58′,44°60′,,China,3,3,Maize,Straw return,10437.81,11734.64,1043.781,1173.464,kg/ha,,,,,,,
D331,119,37,6,,Effects of straw returning method partnered with different tillage methods on migration of soil water,,,129°58′,44°60′,,China,3,3,Maize,Straw return,11149.11,11813.43,1114.911,1181.343,kg/ha,,,,,,,
D331,120,38,1,,Effects of tillage managements in wheat-maize whole season on the stem and ear traits in summer maize,,,,,,China,3,3,Maize,Straw return,5173.92,6559.9,517.392,655.99,kg/ha,,,,,,,
D331,121,38,2,,Effects of tillage managements in wheat-maize whole season on the stem and ear traits in summer maize,,,,,,China,3,3,Maize,Straw return,6374.77,7027.98,637.477,702.798,kg/ha,,,,,,,
D331,122,39,1,,Effects of different modes of straw returned on contents of soil carbon and nitrogen and yield of high Oil maize,,,116°26′,37°9′,,China,3,3,Maize,Straw return,8907.77,9654.12,11.73,14,kg/ha,,,,,,,
D331,123,40,1,,Effect of fertilization regime on Soil N2O emission from upland field under wheat-maize rotation system,,,105°27′,31°16′,,China,3,3,Wheat,Straw return,2800,3400,190,290,kg/ha,,,,,,,
D331,124,40,2,,Effect of fertilization regime on Soil N2O emission from upland field under wheat-maize rotation system,,,105°27′,31°16′,,China,3,3,Maize,Straw return,5600,7520,730,410,kg/ha,,,,,,,
D331,125,41,1,,Straw returning: effects on soil physical and chemical properties and maize yield,,,107.200832,35.677462,,China,5,5,Maize,Straw return,10125,10822.5,1012.5,1082.25,kg/ha,,,,,,,
D331,126,42,1,,Dynamics of crop yield and soil oxdizible organic carbon fraction within a maize-winter wheat-soy rotation under different tillage treatment in Longdong Loess Plateau,,,107°51′,35°39′,,China,4,4,Maize,Straw return,7650,6920,580,450,kg/ha,,,,,,,
