"","DatasetID","Source","Country","SiteRegion","Latitude","Longitude","Croptype","Treatment","QualityOfDataPoint","Coordinate_format","ControlTreatm","Yield_mean","Yield_median","Yield_se","ObjectID"
"92","D1120","Thierfelder et al. (2013)","Malawi","Salima",-13.69,34.24,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",5156.75,5629,543.18234737517,92
"93","D1120","Thierfelder et al. (2013)","Mozambique","Munene",-18.11,33.19,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2364.66666666667,3047,682.333333333333,93
"94","D1120","Thierfelder et al. (2013)","Mozambique","Munene",-18.11,33.19,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",3027.33333333333,3893,894.318051801359,94
"95","D1120","Thierfelder et al. (2013)","Mozambique","Mussianharo",-18.34,33.27,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3283,3443,160,95
"96","D1120","Thierfelder et al. (2013)","Mozambique","Mussianharo",-18.34,33.27,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",3494.33333333333,3807,377.423428584454,96
"97","D1120","Thierfelder et al. (2013)","Mozambique","Nhamuka",-18.11,33.19,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3742,4533,791,97
"98","D1120","Thierfelder et al. (2013)","Mozambique","Nhamuka",-18.11,33.19,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",3459.33333333333,4409,957.176461149029,98
"99","D1120","Thierfelder et al. (2013)","Mozambique","Sussundenga",-19.317,33.241,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2584.46153846154,1522,484.144032067919,99
"100","D1120","Thierfelder et al. (2013)","Mozambique","Sussundenga",-19.317,33.241,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",2907.69230769231,1478,569.357953566946,100
"101","D1120","Thierfelder et al. (2013)","Mozambique","Vilamite",-18.11,33.19,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4953,5230,277,101
"102","D1120","Thierfelder et al. (2013)","Mozambique","Vilamite",-18.11,33.19,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",3406,4051,932.516130334126,102
"103","D1120","Thierfelder et al. (2013)","Zambia","Chipata",-13.7,32.61,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3382,3235,86.041172314964,103
"104","D1120","Thierfelder et al. (2013)","Zambia","Chipata",-13.7,32.61,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",3891.44444444444,3897,573.690129074513,104
"105","D1120","Thierfelder et al. (2013)","Zambia","Monze",-16.24,27.43,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4416.07692307692,4231,298.741815927778,105
"106","D1120","Thierfelder et al. (2013)","Zambia","Monze",-16.24,27.43,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",5513.61538461538,5842,548.7230810927,106
"107","D1120","Thierfelder et al. (2013)","Zimbabwe","Hwedza",-18.37,31.35,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",709.5,666,135.725642381976,107
"108","D1120","Thierfelder et al. (2013)","Zimbabwe","Hwedza",-18.37,31.35,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",724.8,630,128.192719502058,108
"109","D1120","Thierfelder et al. (2014)","Zimbabwe","Chikato",-19.85,30.88,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",591,486.5,67.8382881073316,109
"110","D1120","Thierfelder et al. (2014)","Zimbabwe","Chikato",-19.85,30.88,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",1335,1115,160.490082767337,110
"111","D1120","Thierfelder et al. (2016)","Mozambique","Gimo",-14.902,34.526,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4694.26315789474,4490,147.267775019969,111
"112","D1120","Thierfelder et al. (2016)","Mozambique","Gimo",-14.902,34.526,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4353.21052631579,4424.5,164.814431439304,112
"113","D1120","Thierfelder et al. (2016)","Mozambique","Lamego Ndeja",-19.332,34.353,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2442.92857142857,2566,119.33108236517,113
"114","D1120","Thierfelder et al. (2016)","Mozambique","Lamego Ndeja",-19.332,34.353,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",3114.17857142857,3121,99.0978626667074,114
"115","D1120","Thierfelder et al. (2016)","Mozambique","Lamego Segredo",-19.35,34.345,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2353.70833333333,2375,102.002446424273,115
"116","D1120","Thierfelder et al. (2016)","Mozambique","Lamego Segredo",-19.35,34.345,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",3219.72916666667,3226.5,122.426583657944,116
"117","D1120","Thierfelder et al. (2016)","Mozambique","Madjiga",-19.87,34.49,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",1291.73333333333,1547,100.726520989516,117
"118","D1120","Thierfelder et al. (2016)","Mozambique","Madjiga",-19.87,34.49,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",1249.83333333333,1443,92.8795794753879,118
"119","D1120","Thierfelder et al. (2016)","Mozambique","Maguai",-14.774,34.428,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4845.79310344828,5013,127.386633368388,119
"120","D1120","Thierfelder et al. (2016)","Mozambique","Maguai",-14.774,34.428,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4821.13793103448,4880.5,116.163197069743,120
"121","D1120","Thierfelder et al. (2016)","Mozambique","Malomwe",-18.108,33.193,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2675.35483870968,2548,170.18783770898,121
"122","D1120","Thierfelder et al. (2016)","Mozambique","Malomwe",-18.108,33.193,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",3728.51612903226,3809,179.505230670715,122
"123","D1120","Thierfelder et al. (2016)","Mozambique","Mussianharo",-18.34,33.27,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2812.75,2920.5,122.497397931548,123
"124","D1120","Thierfelder et al. (2016)","Mozambique","Mussianharo",-18.34,33.27,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",3142.9375,3077,219.786041199731,124
"125","D1120","Thierfelder et al. (2016)","Mozambique","Nhamizhinga",-18.365,33.209,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3620.4,3421,205.222790884212,125
"126","D1120","Thierfelder et al. (2016)","Mozambique","Nhamizhinga",-18.365,33.209,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4277.1,4127.5,235.040037099104,126
"127","D1120","Thierfelder et al. (2016)","Mozambique","Nzewe",-14.519,34.304,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4136.42857142857,4281,112.404638343302,127
"128","D1120","Thierfelder et al. (2016)","Mozambique","Nzewe",-14.519,34.304,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",5084.2380952381,5151,183.27233852694,128
"129","D1120","Thierfelder et al. (2016)","Mozambique","Pumbuto",-19.001,33.72,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2713,2598,226.649308604525,129
"130","D1120","Thierfelder et al. (2016)","Mozambique","Pumbuto",-19.001,33.72,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",2718.88636363636,2808.5,201.32638457152,130
"131","D1120","Thierfelder et al. (2016)","Mozambique","Ulongue",-14.721,34.306,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",5110.51724137931,5220,143.607701586152,131
"132","D1120","Thierfelder et al. (2016)","Mozambique","Ulongue",-14.721,34.306,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4952.60344827586,4555.5,142.507088879524,132
"133","D1120","Vaughan et al. (2000)","USA","North Carolina",35.428,-82.56,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",7711.5,8301.5,532.742492885156,133
"134","D1120","Vaughan et al. (2000)","USA","North Carolina",35.428,-82.56,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",8235.33333333333,8497,556.34028238473,134
"135","D1120","Verhulst et al. (2011)","Mexico","El Batan",19.529,-98.846,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",5255,5900,744.436028144796,135
"136","D1120","Verhulst et al. (2011)","Mexico","El Batan",19.529,-98.846,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",6930,7420,463.047873694863,136
"137","D1120","Vogel (1993)","Zimbabwe","Matoba",-19.829,30.783,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2815,2815,NA,137
"138","D1120","Vogel (1993)","Zimbabwe","Matoba",-19.829,30.783,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",2515,2515,NA,138
"139","D1120","Wagger & Denton (1992)","USA","North Carolina",35.894,-77.68,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",7340,7760,663.575203938522,139
"140","D1120","Wagger & Denton (1992)","USA","North Carolina",35.894,-77.68,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",7535.38461538462,7100,598.991262494186,140
"141","D1120","Wagger & Denton (1992)","USA","North Carolina",36.38,-79.695,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3458.46153846154,4060,528.25043370551,141
